# Time t       V(t)           max K(t)       max T(t)       Vcr(t)         Acr(t)         Vion(t)        lambda(t)      P(t)           dP(t, t+dt)    Time lag       
0              1990.55        0              0              0              0              0              0              0              0              inf            
1e-09          2029.5         0              0              0              0              0              0              0              0              inf            
2.2e-09        2076.2         0              0              0              0              0              0              0              0              inf            
3.64e-09       2132.17        0              0              0              0              0              0              0              0              inf            
5.368e-09      2199.25        0              0              0              0              0              0              0              0              inf            
7.4416e-09     2279.61        0              0              0              0              0              0              0              0              inf            
9.92992e-09    2375.86        0              0              0              0              0              0              0              0              inf            
1.29159e-08    2491.08        0              0              0              0              0              0              0              0              inf            
1.64991e-08    2628.97        0              0              0              0              0              0              0              0              inf            
2.07989e-08    2793.87        0              0              0              0              0              0              0              0              inf            
2.59587e-08    2990.96        0              0              0              0              0              0              0              0              inf            
3.21504e-08    3226.31        0              0              0              0              0              0              0              0              inf            
3.95805e-08    3507.11        0              0              0              0              0              0              0              0              inf            
4.6425e-08     3764.2         0              0              0              0              0              0              0              0              inf            
5.28054e-08    4002.5         0              0              0              0              0              0              0              0              inf            
5.88083e-08    4225.52        0              0              0              0              0              0              0              0              inf            
6.44963e-08    4435.79        0              0              0              0              0              0              0              0              inf            
6.99163e-08    4635.2         0              0              0              0              0              0              0              0              inf            
7.51044e-08    4825.22        0              0              0              0              0              0              0              0              inf            
8.00893e-08    5007           0              0              0              0              0              0              0              0              inf            
8.48942e-08    5181.48        0              0              0              0              2.91757e-12    0              0              0              inf            
8.95381e-08    5349.44        0.000252542    2.52574e-07    0              0              6.07019e-11    0              0              0              inf            
9.40369e-08    5511.51        0.000618918    6.19109e-07    0              0              2.14997e-10    0              0              0              inf            
9.84041e-08    5668.25        0.00135659     1.35751e-06    0              0              4.19774e-10    0              0              0              inf            
1.02651e-07    5820.11        0.00262926     2.63272e-06    0              0              7.1292e-10     0              0              0              inf            
1.06788e-07    5967.49        0.00441607     4.42584e-06    0              0              1.04905e-09    0              0              0              inf            
1.10823e-07    6110.75        0.00666536     6.68762e-06    0              0              1.39735e-09    0              0              0              inf            
1.14763e-07    6250.19        0.00934725     9.39107e-06    0              0              1.82556e-09    0              0              0              inf            
1.18616e-07    6386.08        0.0125393      1.26183e-05    0              0              2.13271e-09    0              0              0              inf            
1.22388e-07    6518.65        0.016253       1.63858e-05    0              0              2.58483e-09    0              0              0              inf            
1.26083e-07    6648.12        0.0204813      2.06925e-05    0              0              3.17856e-09    0              0              0              inf            
1.29706e-07    6774.69        0.0251198      2.54379e-05    0              0              3.58292e-09    0              0              0              inf            
1.33262e-07    6898.52        0.0302455      3.07075e-05    0              0              4.25049e-09    0              0              0              inf            
1.36755e-07    7019.76        0.0358819      3.65335e-05    0              0              4.81305e-09    0              0              0              inf            
1.40187e-07    7138.57        0.0419953      4.28896e-05    0              0              5.44183e-09    0              0              0              inf            
1.43563e-07    7255.07        0.0486259      4.98275e-05    0              0              6.08556e-09    0              0              0              inf            
1.46884e-07    7369.37        0.055737       5.73196e-05    0              0              6.80564e-09    0              0              0              inf            
1.50154e-07    7481.59        0.0632324      6.52743e-05    0              0              7.68684e-09    0              0              0              inf            
1.53375e-07    7591.83        0.0711979      7.37937e-05    0              0              8.57095e-09    0              0              0              inf            
1.5655e-07     7700.17        0.0796523      8.29105e-05    0              0              9.49983e-09    0              0              0              inf            
1.5968e-07     7806.71        0.0885992      9.26426e-05    0              0              1.04525e-08    0              0              0              inf            
1.62767e-07    7911.52        0.0979906      0.000102952    0              0              1.15972e-08    0              0              0              inf            
1.65814e-07    8014.67        0.107888       0.000113923    0              0              1.26453e-08    0              0              0              inf            
1.68822e-07    8116.23        0.118199       0.000125468    0              0              1.39318e-08    0              0              0              inf            
1.71792e-07    8216.27        0.128893       0.000137568    0              0              1.54081e-08    0              0              0              inf            
1.74726e-07    8314.85        0.139988       0.00015026     0              0              1.68615e-08    0              0              0              inf            
1.77625e-07    8412.02        0.151501       0.00016358     0              0              1.85301e-08    0              0              0              inf            
1.80491e-07    8507.83        0.163519       0.000177648    0              0              2.02687e-08    0              0              0              inf            
1.83325e-07    8602.34        0.175924       0.000192348    0              0              2.22704e-08    0              0              0              inf            
1.86128e-07    8695.59        0.188781       0.000207776    0              0              2.43428e-08    0              0              0              inf            
1.88901e-07    8787.61        0.202039       0.000223895    0              0              2.66058e-08    0              0              0              inf            
1.91645e-07    8878.47        0.215752       0.000240795    0              0              2.9155e-08     0              0              0              inf            
1.9436e-07     8968.18        0.229828       0.000258383    0              0              3.18249e-08    0              0              0              inf            
1.97049e-07    9056.79        0.244274       0.000276694    0              0              3.48032e-08    0              0              0              inf            
1.99712e-07    9144.34        0.25928        0.000295997    0              0              3.83061e-08    0              0              0              inf            
2.02349e-07    9230.86        0.274877       0.000316369    0              0              4.19997e-08    0              0              0              inf            
2.04961e-07    9316.37        0.290884       0.000337609    0              0              4.64552e-08    0              0              0              inf            
2.0755e-07     9400.92        0.307335       0.000359796    0              0              5.12461e-08    0              0              0              inf            
2.10115e-07    9484.52        0.32429        0.000383049    0              0              5.68103e-08    0              0              0              inf            
2.12658e-07    9567.2         0.34163        0.00040724     0              0              6.15828e-08    0              0              0              inf            
2.15179e-07    9648.99        0.359355       0.000432405    0              0              6.59392e-08    0              0              0              inf            
2.17679e-07    9729.92        0.377616       0.000458803    0              0              7.01151e-08    0              0              0              inf            
2.20158e-07    9810           0.396282       0.000486288    0              0              7.39578e-08    0              0              0              inf            
2.22616e-07    9889.27        0.415282       0.000514799    0              0              7.79181e-08    0              0              0              inf            
2.25055e-07    9967.73        0.43476        0.000544592    0              0              8.17027e-08    0              0              0              inf            
2.27475e-07    10045.4        0.454561       0.000575482    0              0              8.54198e-08    0              0              0              inf            
2.29876e-07    10122.3        0.474635       0.000607427    0              0              8.9205e-08     0              0              0              inf            
2.32259e-07    10198.5        0.495158       0.000640757    0              0              9.28982e-08    0              0              0              inf            
2.34625e-07    10274          0.516003       0.000675319    0              0              9.64722e-08    0              0              0              inf            
2.36972e-07    10348.8        0.537196       0.000711202    0              0              1.00085e-07    0              0              0              inf            
2.39303e-07    10422.8        0.558845       0.000748651    0              0              1.03655e-07    0              0              0              inf            
2.41618e-07    10496.2        0.581026       0.000787871    0              0              1.07296e-07    0              0              0              inf            
2.43916e-07    10569          0.603526       0.000828556    0              0              1.10818e-07    0              0              0              inf            
2.46199e-07    10641.1        0.626306       0.000870687    0              0              1.14245e-07    0              0              0              inf            
2.48466e-07    10712.6        0.649567       0.000914711    0              0              1.17791e-07    0              0              0              inf            
2.50718e-07    10783.4        0.673312       0.000960721    0              0              1.21064e-07    0              0              0              inf            
2.52955e-07    10853.7        0.697264       0.00100825     0              0              1.24753e-07    0              0              0              inf            
2.55178e-07    10923.4        0.721405       0.00105732     0              0              1.28108e-07    0              0              0              inf            
2.57387e-07    10992.5        0.745755       0.00110803     0              0              1.31464e-07    0              0              0              inf            
2.59582e-07    11061          0.770459       0.00116076     0              0              1.34885e-07    0              0              0              inf            
2.61763e-07    11129          0.795361       0.00121524     0              0              1.38116e-07    0              0              0              inf            
2.63931e-07    11196.5        0.820245       0.00127106     0              0              1.41709e-07    0              0              0              inf            
2.66086e-07    11263.4        0.845315       0.00132871     0              0              1.44822e-07    0              0              0              inf            
2.68228e-07    11329.8        0.870435       0.00138795     0              0              1.48219e-07    0              0              0              inf            
2.70357e-07    11395.7        0.895865       0.00144945     0              0              1.51569e-07    0              0              0              inf            
2.72475e-07    11461          0.921377       0.00151275     0              0              1.54901e-07    0              0              0              inf            
2.7458e-07     11525.9        0.947072       0.00157815     0              0              1.58013e-07    0              0              0              inf            
2.76674e-07    11590.4        0.972945       0.00164572     0              0              1.61267e-07    0              0              0              inf            
2.78755e-07    11654.3        0.999088       0.0017158      0              0              1.64803e-07    0              0              0              inf            
2.80826e-07    11717.8        1.02543        0.00178829     0              0              1.68045e-07    0              0              0              inf            
2.82885e-07    11780.8        1.05173        0.00186259     0              0              1.71062e-07    0              0              0              inf            
2.84933e-07    11843.4        1.07826        0.00193956     0              0              1.73954e-07    0              0              0              inf            
2.86971e-07    11905.5        1.10493        0.00201901     0              0              1.77613e-07    0              0              0              inf            
2.88998e-07    11967.2        1.13189        0.00210151     0              0              1.80874e-07    0              0              0              inf            
2.91014e-07    12028.5        1.15898        0.00218667     0              0              1.83843e-07    0              0              0              inf            
2.9302e-07     12089.4        1.18634        0.00227506     0              0              1.86879e-07    0              0              0              inf            
2.95016e-07    12149.9        1.21358        0.00236551     0              0              1.9006e-07     0              0              0              inf            
2.97003e-07    12209.9        1.24092        0.00245879     0              0              1.93541e-07    0              0              0              inf            
2.98979e-07    12269.6        1.26865        0.00255603     0              0              1.96624e-07    0              0              0              inf            
3.00946e-07    12328.8        1.29632        0.0026558      0              0              1.99522e-07    0              0              0              inf            
3.02903e-07    12387.7        1.32433        0.00275967     0              0              2.02463e-07    0              0              0              inf            
3.04852e-07    12446.2        1.35219        0.00286587     0              0              2.05475e-07    0              0              0              inf            
3.06791e-07    12504.4        1.37997        0.00297476     0              0              2.09005e-07    0              0              0              inf            
3.08721e-07    12562.1        1.40819        0.00308855     0              0              2.12041e-07    0              0              0              inf            
3.10642e-07    12619.5        1.43627        0.003205       0              0              2.15029e-07    0              0              0              inf            
3.12554e-07    12676.6        1.46469        0.00332622     0              0              2.1797e-07     0              0              0              inf            
3.14458e-07    12733.3        1.49289        0.00344992     0              0              2.20886e-07    0              0              0              inf            
3.16353e-07    12789.7        1.52132        0.00357827     0              0              2.23707e-07    0              0              0              inf            
3.1824e-07     12845.7        1.54963        0.00370972     0              0              2.27095e-07    0              0              0              inf            
3.20119e-07    12901.4        1.57879        0.00384908     0              0              2.30369e-07    0              0              0              inf            
3.2199e-07     12956.7        1.60735        0.00398955     0              0              2.33167e-07    0              0              0              inf            
3.23853e-07    13011.8        1.6361         0.00413513     0              0              2.35964e-07    0              0              0              inf            
3.25708e-07    13066.5        1.66497        0.0042855      0              0              2.39058e-07    0              0              0              inf            
3.27555e-07    13120.9        1.6938         0.00444009     0              0              2.41784e-07    0              0              0              inf            
3.29394e-07    13175          1.72348        0.004604       0              0              2.44796e-07    0              0              0              inf            
3.31226e-07    13228.7        1.75261        0.00476966     0              0              2.47665e-07    0              0              0              inf            
3.33051e-07    13282.2        1.78187        0.00494096     0              0              2.50613e-07    0              0              0              inf            
3.34868e-07    13335.4        1.81119        0.00511771     0              0              2.53683e-07    0              0              0              inf            
3.36678e-07    13388.3        1.84072        0.0053011      0              0              2.56456e-07    0              0              0              inf            
3.38481e-07    13440.9        1.87018        0.00548944     0              0              2.59755e-07    0              0              0              inf            
3.40276e-07    13493.2        1.90044        0.00568882     0              0              2.62767e-07    0              0              0              inf            
3.42065e-07    13545.2        1.93005        0.00588985     0              0              2.65421e-07    0              0              0              inf            
3.43847e-07    13597          1.95975        0.00609756     0              0              2.68228e-07    0              0              0              inf            
3.45622e-07    13648.4        1.98954        0.00631215     0              0              2.70739e-07    0              0              0              inf            
3.47391e-07    13699.6        2.01907        0.0065313      0              0              2.7349e-07     0              0              0              inf            
3.49153e-07    13750.6        2.04978        0.00676622     0              0              2.76645e-07    0              0              0              inf            
3.50908e-07    13801.2        2.07961        0.00700134     0              0              2.79562e-07    0              0              0              inf            
3.52657e-07    13851.6        2.10953        0.00724437     0              0              2.82464e-07    0              0              0              inf            
3.544e-07      13901.8        2.13949        0.00749514     0              0              2.85009e-07    0              0              0              inf            
3.56136e-07    13951.7        2.1695         0.00775387     0              0              2.87568e-07    0              0              0              inf            
3.57867e-07    14001.3        2.19925        0.00801825     0              0              2.90435e-07    0              0              0              inf            
3.59591e-07    14050.7        2.23042        0.00830381     0              0              2.93518e-07    0              0              0              inf            
3.61309e-07    14099.8        2.26054        0.00858825     0              0              2.96565e-07    0              0              0              inf            
3.63021e-07    14148.7        2.29082        0.008883       0              0              2.99315e-07    0              0              0              inf            
3.64727e-07    14197.4        2.32108        0.00918662     0              0              3.0216e-07     0              0              0              inf            
3.66427e-07    14245.8        2.35144        0.00950067     0              0              3.04838e-07    0              0              0              inf            
3.68121e-07    14294          2.3819         0.00982542     0              0              3.0754e-07     0              0              0              inf            
3.6981e-07     14342          2.41243        0.010161       0              0              3.10361e-07    0              0              0              inf            
3.71493e-07    14389.7        2.44251        0.0105019      0              0              3.13335e-07    0              0              0              inf            
3.73171e-07    14437.2        2.47453        0.0108761      0              0              3.16037e-07    0              0              0              inf            
3.74843e-07    14484.5        2.50508        0.0112445      0              0              3.1886e-07     0              0              0              inf            
3.7651e-07     14531.5        2.53565        0.0116246      0              0              3.21395e-07    0              0              0              inf            
3.78171e-07    14578.4        2.56636        0.0120184      0              0              3.24192e-07    0              0              0              inf            
3.79827e-07    14625          2.59715        0.0124254      0              0              3.26608e-07    0              0              0              inf            
